soc_code,vector_type,vector_json
49-2092.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.6071428571428571,""ria_E"":0.1442857142857143,""ria_I"":0.39,""ria_R"":1,""ria_S"":0.16999999999999998}"
49-2093.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.6900000000000001,""ria_E"":0.1457142857142857,""ria_I"":0.4828571428571428,""ria_R"":1,""ria_S"":0.16428571428571428}"
49-2094.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.7528571428571428,""ria_E"":0.2057142857142857,""ria_I"":0.5485714285714286,""ria_R"":1,""ria_S"":0.14285714285714285}"
49-2095.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.7528571428571428,""ria_E"":0.18571428571428572,""ria_I"":0.5028571428571429,""ria_R"":1,""ria_S"":0.15285714285714286}"
49-2096.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.6185714285714285,""ria_E"":0.14285714285714285,""ria_I"":0.49142857142857144,""ria_R"":1,""ria_S"":0.18571428571428572}"
49-2097.00,riasec,"{""ria_A"":0.23714285714285713,""ria_C"":0.6585714285714286,""ria_E"":0.16,""ria_I"":0.3742857142857143,""ria_R"":0.9785714285714285,""ria_S"":0.23428571428571426}"
49-2098.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.7057142857142857,""ria_E"":0.22571428571428573,""ria_I"":0.4785714285714286,""ria_R"":0.9528571428571428,""ria_S"":0.19571428571428573}"
49-3011.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.6714285714285715,""ria_E"":0.26285714285714284,""ria_I"":0.5442857142857143,""ria_R"":0.9571428571428572,""ria_S"":0.18714285714285714}"
49-3021.00,riasec,"{""ria_A"":0.20428571428571426,""ria_C"":0.47714285714285715,""ria_E"":0.20714285714285713,""ria_I"":0.2285714285714286,""ria_R"":1,""ria_S"":0.15142857142857144}"
49-3022.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.5285714285714286,""ria_E"":0.19857142857142857,""ria_I"":0.32,""ria_R"":1,""ria_S"":0.18285714285714286}"
49-3023.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.6157142857142857,""ria_E"":0.2285714285714286,""ria_I"":0.5114285714285715,""ria_R"":1,""ria_S"":0.20714285714285713}"
49-3031.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.5328571428571428,""ria_E"":0.1842857142857143,""ria_I"":0.46714285714285714,""ria_R"":1,""ria_S"":0.22}"
49-3041.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.6142857142857142,""ria_E"":0.1542857142857143,""ria_I"":0.43142857142857144,""ria_R"":1,""ria_S"":0.18571428571428572}"
49-3042.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.6214285714285713,""ria_E"":0.14285714285714285,""ria_I"":0.5057142857142857,""ria_R"":1,""ria_S"":0.14285714285714285}"
49-3043.00,riasec,"{""ria_A"":0.17285714285714285,""ria_C"":0.5528571428571428,""ria_E"":0.1657142857142857,""ria_I"":0.39571428571428574,""ria_R"":1,""ria_S"":0.21142857142857144}"
49-3051.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.5542857142857143,""ria_E"":0.23,""ria_I"":0.40857142857142853,""ria_R"":1,""ria_S"":0.1442857142857143}"
49-3052.00,riasec,"{""ria_A"":0.1757142857142857,""ria_C"":0.52,""ria_E"":0.14285714285714285,""ria_I"":0.44571428571428573,""ria_R"":1,""ria_S"":0.2057142857142857}"
49-3053.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.5671428571428572,""ria_E"":0.18,""ria_I"":0.35428571428571426,""ria_R"":1,""ria_S"":0.17142857142857143}"
49-3091.00,riasec,"{""ria_A"":0.16714285714285712,""ria_C"":0.47714285714285715,""ria_E"":0.21285714285714286,""ria_I"":0.26,""ria_R"":1,""ria_S"":0.23142857142857146}"
49-3092.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.5885714285714286,""ria_E"":0.17714285714285713,""ria_I"":0.37285714285714283,""ria_R"":1,""ria_S"":0.22428571428571428}"
49-3093.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.48714285714285716,""ria_E"":0.22571428571428573,""ria_I"":0.2571428571428572,""ria_R"":1,""ria_S"":0.2557142857142857}"
49-9011.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.5657142857142857,""ria_E"":0.14285714285714285,""ria_I"":0.2542857142857143,""ria_R"":0.9814285714285714,""ria_S"":0.20857142857142857}"
49-9012.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.6442857142857142,""ria_E"":0.14285714285714285,""ria_I"":0.40714285714285714,""ria_R"":1,""ria_S"":0.17142857142857143}"
49-9021.00,riasec,"{""ria_A"":0.14857142857142858,""ria_C"":0.6128571428571429,""ria_E"":0.17142857142857143,""ria_I"":0.40285714285714286,""ria_R"":0.9942857142857143,""ria_S"":0.21}"
49-9031.00,riasec,"{""ria_A"":0.1657142857142857,""ria_C"":0.6914285714285714,""ria_E"":0.1942857142857143,""ria_I"":0.33285714285714285,""ria_R"":1,""ria_S"":0.23285714285714285}"
49-9041.00,riasec,"{""ria_A"":0.1442857142857143,""ria_C"":0.6185714285714285,""ria_E"":0.16714285714285712,""ria_I"":0.43,""ria_R"":1,""ria_S"":0.14285714285714285}"
49-9043.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.6071428571428571,""ria_E"":0.17142857142857143,""ria_I"":0.2914285714285714,""ria_R"":1,""ria_S"":0.14285714285714285}"
49-9044.00,riasec,"{""ria_A"":0.22714285714285715,""ria_C"":0.5185714285714286,""ria_E"":0.15571428571428572,""ria_I"":0.3828571428571429,""ria_R"":1,""ria_S"":0.14285714285714285}"
49-9045.00,riasec,"{""ria_A"":0.18714285714285714,""ria_C"":0.5071428571428571,""ria_E"":0.14285714285714285,""ria_I"":0.31428571428571433,""ria_R"":1,""ria_S"":0.1457142857142857}"
49-9051.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.5428571428571428,""ria_E"":0.2542857142857143,""ria_I"":0.38,""ria_R"":1,""ria_S"":0.18285714285714286}"
49-9052.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.5957142857142858,""ria_E"":0.2871428571428571,""ria_I"":0.35571428571428576,""ria_R"":0.9257142857142858,""ria_S"":0.22571428571428573}"
49-9061.00,riasec,"{""ria_A"":0.2757142857142857,""ria_C"":0.6900000000000001,""ria_E"":0.14285714285714285,""ria_I"":0.38,""ria_R"":0.99,""ria_S"":0.16999999999999998}"
49-9062.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.6857142857142857,""ria_E"":0.14285714285714285,""ria_I"":0.6557142857142857,""ria_R"":1,""ria_S"":0.27999999999999997}"
49-9063.00,riasec,"{""ria_A"":0.4942857142857143,""ria_C"":0.5057142857142857,""ria_E"":0.14285714285714285,""ria_I"":0.37714285714285717,""ria_R"":0.9128571428571428,""ria_S"":0.22571428571428573}"
49-9064.00,riasec,"{""ria_A"":0.19142857142857145,""ria_C"":0.6342857142857143,""ria_E"":0.16142857142857142,""ria_I"":0.28285714285714286,""ria_R"":0.9342857142857143,""ria_S"":0.20142857142857143}"
49-9071.00,riasec,"{""ria_A"":0.17142857142857143,""ria_C"":0.5957142857142858,""ria_E"":0.21857142857142858,""ria_I"":0.3614285714285714,""ria_R"":1,""ria_S"":0.25}"
49-9081.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.6128571428571429,""ria_E"":0.25285714285714284,""ria_I"":0.5142857142857143,""ria_R"":1,""ria_S"":0.23142857142857146}"
49-9091.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.8142857142857143,""ria_E"":0.26999999999999996,""ria_I"":0.25857142857142856,""ria_R"":0.8685714285714285,""ria_S"":0.1742857142857143}"
49-9092.00,riasec,"{""ria_A"":0.19285714285714287,""ria_C"":0.4428571428571429,""ria_E"":0.23714285714285713,""ria_I"":0.5142857142857143,""ria_R"":1,""ria_S"":0.15714285714285717}"
49-9094.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.7142857142857143,""ria_E"":0.20285714285714285,""ria_I"":0.30142857142857143,""ria_R"":0.87,""ria_S"":0.22428571428571428}"
49-9095.00,riasec,"{""ria_A"":0.21714285714285714,""ria_C"":0.5571428571428572,""ria_E"":0.16714285714285712,""ria_I"":0.2714285714285714,""ria_R"":0.9757142857142858,""ria_S"":0.24428571428571427}"
49-9096.00,riasec,"{""ria_A"":0.20142857142857143,""ria_C"":0.52,""ria_E"":0.2785714285714286,""ria_I"":0.3385714285714286,""ria_R"":1,""ria_S"":0.1457142857142857}"
49-9097.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.6371428571428571,""ria_E"":0.1442857142857143,""ria_I"":0.37714285714285717,""ria_R"":0.9271428571428572,""ria_S"":0.16999999999999998}"
49-9098.00,riasec,"{""ria_A"":0.15714285714285717,""ria_C"":0.5771428571428572,""ria_E"":0.23285714285714285,""ria_I"":0.2814285714285714,""ria_R"":0.9985714285714286,""ria_S"":0.26}"
49-9099.01,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.7128571428571429,""ria_E"":0.2542857142857143,""ria_I"":0.49142857142857144,""ria_R"":0.9114285714285714,""ria_S"":0.24}"
51-1011.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.7214285714285714,""ria_E"":0.9,""ria_I"":0.22571428571428573,""ria_R"":0.6142857142857142,""ria_S"":0.41000000000000003}"
51-2011.00,riasec,"{""ria_A"":0.24857142857142858,""ria_C"":0.5457142857142857,""ria_E"":0.19571428571428573,""ria_I"":0.38,""ria_R"":1,""ria_S"":0.14285714285714285}"
51-2021.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.5957142857142858,""ria_E"":0.19999999999999998,""ria_I"":0.3257142857142857,""ria_R"":0.9342857142857143,""ria_S"":0.16}"
51-2022.00,riasec,"{""ria_A"":0.24285714285714285,""ria_C"":0.5657142857142857,""ria_E"":0.14285714285714285,""ria_I"":0.4657142857142857,""ria_R"":1,""ria_S"":0.17285714285714285}"
51-2023.00,riasec,"{""ria_A"":0.20142857142857143,""ria_C"":0.7114285714285715,""ria_E"":0.14285714285714285,""ria_I"":0.4785714285714286,""ria_R"":1,""ria_S"":0.15142857142857144}"
51-2031.00,riasec,"{""ria_A"":0.1757142857142857,""ria_C"":0.6271428571428571,""ria_E"":0.15285714285714286,""ria_I"":0.3842857142857143,""ria_R"":1,""ria_S"":0.14285714285714285}"
51-2041.00,riasec,"{""ria_A"":0.24714285714285714,""ria_C"":0.5585714285714286,""ria_E"":0.16,""ria_I"":0.37142857142857144,""ria_R"":1,""ria_S"":0.14285714285714285}"
51-2051.00,riasec,"{""ria_A"":0.31714285714285717,""ria_C"":0.4985714285714286,""ria_E"":0.1657142857142857,""ria_I"":0.2885714285714286,""ria_R"":0.9628571428571429,""ria_S"":0.14285714285714285}"
51-2061.00,riasec,"{""ria_A"":0.16999999999999998,""ria_C"":0.6585714285714286,""ria_E"":0.16285714285714284,""ria_I"":0.3028571428571429,""ria_R"":0.9628571428571429,""ria_S"":0.14285714285714285}"
51-2092.00,riasec,"{""ria_A"":0.2285714285714286,""ria_C"":0.6542857142857142,""ria_E"":0.5614285714285715,""ria_I"":0.20428571428571426,""ria_R"":0.7671428571428571,""ria_S"":0.3457142857142857}"
51-3011.00,riasec,"{""ria_A"":0.34142857142857147,""ria_C"":0.6,""ria_E"":0.3,""ria_I"":0.23714285714285713,""ria_R"":0.8985714285714286,""ria_S"":0.24714285714285714}"
51-3021.00,riasec,"{""ria_A"":0.2542857142857143,""ria_C"":0.5599999999999999,""ria_E"":0.39714285714285713,""ria_I"":0.20142857142857143,""ria_R"":0.8942857142857142,""ria_S"":0.26999999999999996}"
51-3022.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.5599999999999999,""ria_E"":0.20285714285714285,""ria_I"":0.25285714285714284,""ria_R"":1,""ria_S"":0.19571428571428573}"
51-3023.00,riasec,"{""ria_A"":0.18714285714285714,""ria_C"":0.5042857142857142,""ria_E"":0.3028571428571429,""ria_I"":0.32,""ria_R"":0.9457142857142857,""ria_S"":0.23857142857142857}"
51-3091.00,riasec,"{""ria_A"":0.15857142857142859,""ria_C"":0.5942857142857143,""ria_E"":0.26142857142857145,""ria_I"":0.2285714285714286,""ria_R"":0.9800000000000001,""ria_S"":0.18}"
51-3092.00,riasec,"{""ria_A"":0.27285714285714285,""ria_C"":0.6642857142857144,""ria_E"":0.3742857142857143,""ria_I"":0.30142857142857143,""ria_R"":0.87,""ria_S"":0.21428571428571427}"
51-3093.00,riasec,"{""ria_A"":0.16428571428571428,""ria_C"":0.6671428571428571,""ria_E"":0.24,""ria_I"":0.28285714285714286,""ria_R"":0.9742857142857143,""ria_S"":0.19142857142857145}"
51-4021.00,riasec,"{""ria_A"":0.20428571428571426,""ria_C"":0.6157142857142857,""ria_E"":0.14285714285714285,""ria_I"":0.31857142857142856,""ria_R"":0.9571428571428572,""ria_S"":0.1542857142857143}"
51-4022.00,riasec,"{""ria_A"":0.14714285714285716,""ria_C"":0.6271428571428571,""ria_E"":0.16999999999999998,""ria_I"":0.3742857142857143,""ria_R"":0.9628571428571429,""ria_S"":0.14285714285714285}"
51-4023.00,riasec,"{""ria_A"":0.1442857142857143,""ria_C"":0.5657142857142857,""ria_E"":0.14285714285714285,""ria_I"":0.23857142857142857,""ria_R"":0.9657142857142856,""ria_S"":0.1442857142857143}"
51-4031.00,riasec,"{""ria_A"":0.15142857142857144,""ria_C"":0.6142857142857142,""ria_E"":0.14285714285714285,""ria_I"":0.31714285714285717,""ria_R"":0.9800000000000001,""ria_S"":0.14285714285714285}"
51-4032.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.61,""ria_E"":0.14285714285714285,""ria_I"":0.39285714285714285,""ria_R"":1,""ria_S"":0.14285714285714285}"
51-4033.00,riasec,"{""ria_A"":0.16857142857142857,""ria_C"":0.5585714285714286,""ria_E"":0.14285714285714285,""ria_I"":0.3057142857142857,""ria_R"":1,""ria_S"":0.14285714285714285}"
51-4034.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.62,""ria_E"":0.14285714285714285,""ria_I"":0.3028571428571429,""ria_R"":1,""ria_S"":0.14285714285714285}"
51-4035.00,riasec,"{""ria_A"":0.16999999999999998,""ria_C"":0.6257142857142857,""ria_E"":0.14285714285714285,""ria_I"":0.3442857142857143,""ria_R"":1,""ria_S"":0.14285714285714285}"
51-4041.00,riasec,"{""ria_A"":0.2785714285714286,""ria_C"":0.6285714285714287,""ria_E"":0.17285714285714285,""ria_I"":0.5285714285714286,""ria_R"":1,""ria_S"":0.1657142857142857}"
51-4051.00,riasec,"{""ria_A"":0.15,""ria_C"":0.5671428571428572,""ria_E"":0.14285714285714285,""ria_I"":0.39285714285714285,""ria_R"":0.9828571428571429,""ria_S"":0.1442857142857143}"
51-4052.00,riasec,"{""ria_A"":0.16285714285714284,""ria_C"":0.5371428571428571,""ria_E"":0.14285714285714285,""ria_I"":0.35000000000000003,""ria_R"":1,""ria_S"":0.15}"
51-4061.00,riasec,"{""ria_A"":0.38,""ria_C"":0.5757142857142857,""ria_E"":0.14285714285714285,""ria_I"":0.41571428571428576,""ria_R"":0.9800000000000001,""ria_S"":0.15}"
51-4062.00,riasec,"{""ria_A"":0.48142857142857143,""ria_C"":0.6014285714285714,""ria_E"":0.14285714285714285,""ria_I"":0.24714285714285714,""ria_R"":0.8871428571428571,""ria_S"":0.14285714285714285}"
51-4071.00,riasec,"{""ria_A"":0.3057142857142857,""ria_C"":0.5,""ria_E"":0.14285714285714285,""ria_I"":0.3242857142857143,""ria_R"":0.9742857142857143,""ria_S"":0.15}"
51-4072.00,riasec,"{""ria_A"":0.19285714285714287,""ria_C"":0.6114285714285714,""ria_E"":0.1542857142857143,""ria_I"":0.3257142857142857,""ria_R"":0.9957142857142857,""ria_S"":0.1542857142857143}"
51-4081.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.6557142857142857,""ria_E"":0.14285714285714285,""ria_I"":0.3242857142857143,""ria_R"":1,""ria_S"":0.1542857142857143}"
51-4111.00,riasec,"{""ria_A"":0.2714285714285714,""ria_C"":0.5985714285714286,""ria_E"":0.14285714285714285,""ria_I"":0.4257142857142857,""ria_R"":0.9914285714285714,""ria_S"":0.14285714285714285}"
51-4121.00,riasec,"{""ria_A"":0.19999999999999998,""ria_C"":0.5214285714285715,""ria_E"":0.21857142857142858,""ria_I"":0.29714285714285715,""ria_R"":1,""ria_S"":0.1542857142857143}"
51-4122.00,riasec,"{""ria_A"":0.1842857142857143,""ria_C"":0.5571428571428572,""ria_E"":0.21428571428571427,""ria_I"":0.2885714285714286,""ria_R"":1,""ria_S"":0.16142857142857142}"
51-4191.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.5814285714285715,""ria_E"":0.14285714285714285,""ria_I"":0.31428571428571433,""ria_R"":0.9742857142857143,""ria_S"":0.22428571428571428}"
51-4192.00,riasec,"{""ria_A"":0.4114285714285714,""ria_C"":0.5557142857142857,""ria_E"":0.14285714285714285,""ria_I"":0.4042857142857143,""ria_R"":0.9257142857142858,""ria_S"":0.1457142857142857}"
51-4193.00,riasec,"{""ria_A"":0.20142857142857143,""ria_C"":0.5857142857142856,""ria_E"":0.14285714285714285,""ria_I"":0.31857142857142856,""ria_R"":1,""ria_S"":0.14285714285714285}"
51-4194.00,riasec,"{""ria_A"":0.17857142857142858,""ria_C"":0.5928571428571429,""ria_E"":0.14285714285714285,""ria_I"":0.2885714285714286,""ria_R"":1,""ria_S"":0.14285714285714285}"
51-5111.00,riasec,"{""ria_A"":0.4428571428571429,""ria_C"":0.8228571428571428,""ria_E"":0.19285714285714287,""ria_I"":0.27999999999999997,""ria_R"":0.7157142857142856,""ria_S"":0.2357142857142857}"
51-5112.00,riasec,"{""ria_A"":0.24857142857142858,""ria_C"":0.7757142857142857,""ria_E"":0.25285714285714284,""ria_I"":0.16857142857142857,""ria_R"":0.6857142857142857,""ria_S"":0.24428571428571427}"
51-5113.00,riasec,"{""ria_A"":0.2928571428571428,""ria_C"":0.7842857142857144,""ria_E"":0.1757142857142857,""ria_I"":0.17142857142857143,""ria_R"":0.7771428571428572,""ria_S"":0.21}"
51-6011.00,riasec,"{""ria_A"":0.16857142857142857,""ria_C"":0.6085714285714285,""ria_E"":0.22,""ria_I"":0.14285714285714285,""ria_R"":0.9114285714285714,""ria_S"":0.1942857142857143}"
51-6021.00,riasec,"{""ria_A"":0.33,""ria_C"":0.5,""ria_E"":0.14285714285714285,""ria_I"":0.20857142857142857,""ria_R"":0.9114285714285714,""ria_S"":0.16428571428571428}"
51-6031.00,riasec,"{""ria_A"":0.25,""ria_C"":0.5671428571428572,""ria_E"":0.16428571428571428,""ria_I"":0.19571428571428573,""ria_R"":0.9685714285714286,""ria_S"":0.1657142857142857}"
51-6041.00,riasec,"{""ria_A"":0.4471428571428571,""ria_C"":0.4557142857142857,""ria_E"":0.21857142857142858,""ria_I"":0.23285714285714285,""ria_R"":0.9914285714285714,""ria_S"":0.18857142857142858}"
51-6042.00,riasec,"{""ria_A"":0.23857142857142857,""ria_C"":0.5542857142857143,""ria_E"":0.22,""ria_I"":0.25285714285714284,""ria_R"":0.9585714285714285,""ria_S"":0.18571428571428572}"
51-6051.00,riasec,"{""ria_A"":0.34142857142857147,""ria_C"":0.4642857142857143,""ria_E"":0.16428571428571428,""ria_I"":0.14285714285714285,""ria_R"":0.9257142857142858,""ria_S"":0.22285714285714286}"
51-6052.00,riasec,"{""ria_A"":0.5657142857142857,""ria_C"":0.4471428571428571,""ria_E"":0.3485714285714286,""ria_I"":0.1657142857142857,""ria_R"":0.84,""ria_S"":0.2842857142857143}"
51-6061.00,riasec,"{""ria_A"":0.18142857142857144,""ria_C"":0.5971428571428571,""ria_E"":0.17285714285714285,""ria_I"":0.2957142857142857,""ria_R"":0.9671428571428571,""ria_S"":0.18142857142857144}"
51-6062.00,riasec,"{""ria_A"":0.21571428571428572,""ria_C"":0.6414285714285715,""ria_E"":0.22285714285714286,""ria_I"":0.22142857142857145,""ria_R"":0.9085714285714286,""ria_S"":0.1742857142857143}"
51-6063.00,riasec,"{""ria_A"":0.22285714285714286,""ria_C"":0.6114285714285714,""ria_E"":0.1942857142857143,""ria_I"":0.25857142857142856,""ria_R"":0.9928571428571429,""ria_S"":0.1457142857142857}"
51-6064.00,riasec,"{""ria_A"":0.19,""ria_C"":0.6171428571428572,""ria_E"":0.21857142857142858,""ria_I"":0.21142857142857144,""ria_R"":0.9285714285714286,""ria_S"":0.14285714285714285}"
51-6091.00,riasec,"{""ria_A"":0.18142857142857144,""ria_C"":0.5785714285714285,""ria_E"":0.20142857142857143,""ria_I"":0.3157142857142857,""ria_R"":0.9285714285714286,""ria_S"":0.1742857142857143}"
51-6092.00,riasec,"{""ria_A"":0.7714285714285715,""ria_C"":0.5957142857142858,""ria_E"":0.20714285714285713,""ria_I"":0.19142857142857145,""ria_R"":0.8071428571428572,""ria_S"":0.18714285714285714}"
51-6093.00,riasec,"{""ria_A"":0.41714285714285715,""ria_C"":0.41714285714285715,""ria_E"":0.14285714285714285,""ria_I"":0.26285714285714284,""ria_R"":0.9728571428571428,""ria_S"":0.19714285714285712}"
51-7011.00,riasec,"{""ria_A"":0.35714285714285715,""ria_C"":0.4828571428571428,""ria_E"":0.1757142857142857,""ria_I"":0.2928571428571428,""ria_R"":1,""ria_S"":0.15857142857142859}"
51-7021.00,riasec,"{""ria_A"":0.4185714285714286,""ria_C"":0.41000000000000003,""ria_E"":0.14285714285714285,""ria_I"":0.20714285714285713,""ria_R"":1,""ria_S"":0.17857142857142858}"
51-7031.00,riasec,"{""ria_A"":0.5414285714285715,""ria_C"":0.5700000000000001,""ria_E"":0.22714285714285715,""ria_I"":0.3671428571428571,""ria_R"":1,""ria_S"":0.19714285714285712}"
51-7032.00,riasec,"{""ria_A"":0.58,""ria_C"":0.5771428571428572,""ria_E"":0.18,""ria_I"":0.2942857142857143,""ria_R"":0.9400000000000001,""ria_S"":0.1842857142857143}"
51-7041.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.5528571428571428,""ria_E"":0.14285714285714285,""ria_I"":0.33714285714285713,""ria_R"":1,""ria_S"":0.1657142857142857}"
51-7042.00,riasec,"{""ria_A"":0.16142857142857142,""ria_C"":0.5914285714285714,""ria_E"":0.1457142857142857,""ria_I"":0.33999999999999997,""ria_R"":1,""ria_S"":0.17142857142857143}"
51-8011.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.7342857142857142,""ria_E"":0.37142857142857144,""ria_I"":0.44571428571428573,""ria_R"":0.7714285714285715,""ria_S"":0.2957142857142857}"
51-8012.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.7300000000000001,""ria_E"":0.4414285714285714,""ria_I"":0.34714285714285714,""ria_R"":0.7428571428571429,""ria_S"":0.28285714285714286}"
51-8013.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.7300000000000001,""ria_E"":0.27714285714285714,""ria_I"":0.4057142857142857,""ria_R"":0.9771428571428571,""ria_S"":0.17857142857142858}"
51-8013.03,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.6885714285714286,""ria_E"":0.25,""ria_I"":0.44571428571428573,""ria_R"":0.9957142857142857,""ria_S"":0.1742857142857143}"
51-8013.04,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.6685714285714285,""ria_E"":0.25285714285714284,""ria_I"":0.4685714285714285,""ria_R"":1,""ria_S"":0.17285714285714285}"
51-8021.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.6285714285714287,""ria_E"":0.1742857142857143,""ria_I"":0.45142857142857146,""ria_R"":1,""ria_S"":0.15714285714285717}"
51-8031.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.6571428571428571,""ria_E"":0.23142857142857146,""ria_I"":0.36428571428571427,""ria_R"":0.9642857142857143,""ria_S"":0.22428571428571428}"
51-8091.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.7371428571428572,""ria_E"":0.2285714285714286,""ria_I"":0.4542857142857143,""ria_R"":0.8885714285714286,""ria_S"":0.1742857142857143}"
51-8092.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.7414285714285714,""ria_E"":0.3257142857142857,""ria_I"":0.3685714285714286,""ria_R"":0.9500000000000001,""ria_S"":0.20857142857142857}"
51-8093.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.7228571428571428,""ria_E"":0.32,""ria_I"":0.3485714285714286,""ria_R"":0.8814285714285715,""ria_S"":0.19}"
51-8099.01,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.7614285714285715,""ria_E"":0.30428571428571427,""ria_I"":0.4685714285714285,""ria_R"":0.8385714285714286,""ria_S"":0.14285714285714285}"
51-9011.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.6514285714285714,""ria_E"":0.18142857142857144,""ria_I"":0.45142857142857146,""ria_R"":0.9385714285714286,""ria_S"":0.16}"
51-9012.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.6385714285714286,""ria_E"":0.15571428571428572,""ria_I"":0.3271428571428571,""ria_R"":0.8957142857142857,""ria_S"":0.15714285714285717}"
51-9021.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.6557142857142857,""ria_E"":0.20142857142857143,""ria_I"":0.3028571428571429,""ria_R"":0.9771428571428571,""ria_S"":0.14285714285714285}"
51-9022.00,riasec,"{""ria_A"":0.2857142857142857,""ria_C"":0.4642857142857143,""ria_E"":0.14285714285714285,""ria_I"":0.21571428571428572,""ria_R"":1,""ria_S"":0.15285714285714286}"
51-9023.00,riasec,"{""ria_A"":0.16142857142857142,""ria_C"":0.6057142857142858,""ria_E"":0.1657142857142857,""ria_I"":0.27714285714285714,""ria_R"":0.937142857142857,""ria_S"":0.15571428571428572}"
51-9031.00,riasec,"{""ria_A"":0.31428571428571433,""ria_C"":0.5357142857142857,""ria_E"":0.14285714285714285,""ria_I"":0.1742857142857143,""ria_R"":0.8914285714285715,""ria_S"":0.16142857142857142}"
51-9032.00,riasec,"{""ria_A"":0.1457142857142857,""ria_C"":0.6357142857142858,""ria_E"":0.17142857142857143,""ria_I"":0.23,""ria_R"":0.9585714285714285,""ria_S"":0.14285714285714285}"
51-9041.00,riasec,"{""ria_A"":0.18285714285714286,""ria_C"":0.6142857142857142,""ria_E"":0.17857142857142858,""ria_I"":0.31857142857142856,""ria_R"":0.9342857142857143,""ria_S"":0.14857142857142858}"
51-9051.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.6257142857142857,""ria_E"":0.17285714285714285,""ria_I"":0.29714285714285715,""ria_R"":0.9757142857142858,""ria_S"":0.1842857142857143}"
51-9061.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.7657142857142858,""ria_E"":0.19714285714285712,""ria_I"":0.48857142857142855,""ria_R"":0.8185714285714286,""ria_S"":0.14285714285714285}"
51-9071.00,riasec,"{""ria_A"":0.5285714285714286,""ria_C"":0.4785714285714286,""ria_E"":0.21571428571428572,""ria_I"":0.37142857142857144,""ria_R"":0.9414285714285714,""ria_S"":0.14714285714285716}"
51-9071.06,riasec,"{""ria_A"":0.4114285714285714,""ria_C"":0.5871428571428572,""ria_E"":0.3057142857142857,""ria_I"":0.4414285714285714,""ria_R"":0.78,""ria_S"":0.16428571428571428}"
