soc_code,vector_type,vector_json
11-9021.00,riasec,"{""ria_A"":0.24285714285714285,""ria_C"":0.6857142857142857,""ria_E"":0.8185714285714286,""ria_I"":0.4542857142857143,""ria_R"":0.6685714285714285,""ria_S"":0.33571428571428574}"
11-9031.00,riasec,"{""ria_A"":0.39714285714285713,""ria_C"":0.6471428571428571,""ria_E"":0.6928571428571428,""ria_I"":0.41428571428571426,""ria_R"":0.17142857142857143,""ria_S"":0.9228571428571428}"
11-9032.00,riasec,"{""ria_A"":0.4057142857142857,""ria_C"":0.6685714285714285,""ria_E"":0.7628571428571428,""ria_I"":0.43714285714285717,""ria_R"":0.18714285714285714,""ria_S"":0.8171428571428571}"
11-9033.00,riasec,"{""ria_A"":0.4014285714285714,""ria_C"":0.7014285714285714,""ria_E"":0.7571428571428571,""ria_I"":0.5471428571428572,""ria_R"":0.14285714285714285,""ria_S"":0.8057142857142857}"
11-9041.00,riasec,"{""ria_A"":0.37714285714285717,""ria_C"":0.6328571428571428,""ria_E"":0.9142857142857144,""ria_I"":0.6514285714285714,""ria_R"":0.42714285714285716,""ria_S"":0.42142857142857143}"
11-9041.01,riasec,"{""ria_A"":0.30142857142857143,""ria_C"":0.5014285714285714,""ria_E"":0.6714285714285715,""ria_I"":0.8342857142857143,""ria_R"":0.5942857142857143,""ria_S"":0.3}"
11-9051.00,riasec,"{""ria_A"":0.23285714285714285,""ria_C"":0.7228571428571428,""ria_E"":0.8528571428571429,""ria_I"":0.27999999999999997,""ria_R"":0.5942857142857143,""ria_S"":0.5042857142857142}"
11-9071.00,riasec,"{""ria_A"":0.15571428571428572,""ria_C"":0.78,""ria_E"":0.9628571428571429,""ria_I"":0.19285714285714287,""ria_R"":0.39999999999999997,""ria_S"":0.40857142857142853}"
11-9072.00,riasec,"{""ria_A"":0.28285714285714286,""ria_C"":0.72,""ria_E"":0.8928571428571429,""ria_I"":0.27999999999999997,""ria_R"":0.4785714285714286,""ria_S"":0.5614285714285715}"
11-9081.00,riasec,"{""ria_A"":0.20428571428571426,""ria_C"":0.7457142857142857,""ria_E"":0.8871428571428571,""ria_I"":0.15714285714285717,""ria_R"":0.3842857142857143,""ria_S"":0.6157142857142857}"
11-9111.00,riasec,"{""ria_A"":0.20714285714285713,""ria_C"":0.7385714285714285,""ria_E"":0.85,""ria_I"":0.5357142857142857,""ria_R"":0.2928571428571428,""ria_S"":0.6285714285714287}"
11-9121.00,riasec,"{""ria_A"":0.3485714285714286,""ria_C"":0.6028571428571429,""ria_E"":0.7999999999999999,""ria_I"":0.8385714285714286,""ria_R"":0.39142857142857146,""ria_S"":0.4414285714285714}"
11-9121.01,riasec,"{""ria_A"":0.25142857142857145,""ria_C"":0.687142857142857,""ria_E"":0.6157142857142857,""ria_I"":0.8428571428571429,""ria_R"":0.22571428571428573,""ria_S"":0.5114285714285715}"
11-9121.02,riasec,"{""ria_A"":0.2542857142857143,""ria_C"":0.5957142857142858,""ria_E"":0.5042857142857142,""ria_I"":0.8285714285714285,""ria_R"":0.6357142857142858,""ria_S"":0.3685714285714286}"
11-9131.00,riasec,"{""ria_A"":0.16714285714285712,""ria_C"":0.812857142857143,""ria_E"":0.8571428571428571,""ria_I"":0.18571428571428572,""ria_R"":0.3057142857142857,""ria_S"":0.4785714285714286}"
11-9141.00,riasec,"{""ria_A"":0.2414285714285714,""ria_C"":0.7514285714285714,""ria_E"":0.9528571428571428,""ria_I"":0.30142857142857143,""ria_R"":0.4685714285714285,""ria_S"":0.5042857142857142}"
11-9151.00,riasec,"{""ria_A"":0.34714285714285714,""ria_C"":0.6014285714285714,""ria_E"":0.9957142857142857,""ria_I"":0.31,""ria_R"":0.14285714285714285,""ria_S"":0.7757142857142857}"
11-9161.00,riasec,"{""ria_A"":0.26,""ria_C"":0.67,""ria_E"":0.7242857142857143,""ria_I"":0.6414285714285715,""ria_R"":0.5042857142857142,""ria_S"":0.5728571428571428}"
11-9171.00,riasec,"{""ria_A"":0.26999999999999996,""ria_C"":0.6514285714285714,""ria_E"":0.9114285714285714,""ria_I"":0.3314285714285714,""ria_R"":0.4014285714285714,""ria_S"":0.6214285714285713}"
11-9179.01,riasec,"{""ria_A"":0.3057142857142857,""ria_C"":0.5214285714285715,""ria_E"":0.7742857142857142,""ria_I"":0.3842857142857143,""ria_R"":0.4585714285714286,""ria_S"":0.7971428571428572}"
11-9179.02,riasec,"{""ria_A"":0.26285714285714284,""ria_C"":0.7014285714285714,""ria_E"":1,""ria_I"":0.18714285714285714,""ria_R"":0.35714285714285715,""ria_S"":0.5985714285714286}"
11-9199.01,riasec,"{""ria_A"":0.19142857142857145,""ria_C"":0.8099999999999999,""ria_E"":0.9357142857142857,""ria_I"":0.42714285714285716,""ria_R"":0.2757142857142857,""ria_S"":0.37857142857142856}"
11-9199.02,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.9,""ria_E"":0.8471428571428571,""ria_I"":0.4257142857142857,""ria_R"":0.2742857142857143,""ria_S"":0.4428571428571429}"
11-9199.08,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.8357142857142856,""ria_E"":0.8028571428571428,""ria_I"":0.5171428571428571,""ria_R"":0.49000000000000005,""ria_S"":0.40714285714285714}"
11-9199.09,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.7485714285714286,""ria_E"":0.9242857142857143,""ria_I"":0.4342857142857143,""ria_R"":0.5942857142857143,""ria_S"":0.33428571428571424}"
11-9199.10,riasec,"{""ria_A"":0.23714285714285713,""ria_C"":0.6885714285714286,""ria_E"":0.9585714285714285,""ria_I"":0.5514285714285714,""ria_R"":0.49142857142857144,""ria_S"":0.33999999999999997}"
11-9199.11,riasec,"{""ria_A"":0.20857142857142857,""ria_C"":0.67,""ria_E"":0.6485714285714286,""ria_I"":0.6157142857142857,""ria_R"":0.6414285714285715,""ria_S"":0.29}"
13-1011.00,riasec,"{""ria_A"":0.5071428571428571,""ria_C"":0.5328571428571428,""ria_E"":0.9257142857142858,""ria_I"":0.25142857142857145,""ria_R"":0.14285714285714285,""ria_S"":0.5914285714285714}"
